,Unnamed: 0,Name,Min Price,Max Price,Zip Code
630,630,THEA at Metropolis,2738,4355.0,90017
631,631,AVA Toluca Hills,2435,2710.0,90068
632,632,Vision on Wilshire,4503,5073.0,90048
633,633,The Q Playa,2681,4811.0,90045
634,634,Sentral DTLA at 732 S. Spring,2425,4150.0,90014
635,635,ZEN Hollywood,3750,3995.0,90028
636,636,&Pico,3516,4863.0,90064
637,637,One Museum Square,4040,5750.0,90036
638,638,The Gemma,2585,2750.0,90010
639,639,Ferrante,2139,4902.0,90012
640,640,sageLA - Brand New,2395,4670.0,90004
641,641,Arya,4050,4200.0,90034
642,642,The Amara,3145,3330.0,90025
643,643,888 at Grand Hope Park,2435,4350.0,90017
645,645,TENTEN WILSHIRE,2750,4095.0,90017
646,646,VOX,3190,4670.0,90016
647,647,The BORA 3170,2250,3152.0,90006
648,648,Beaudry,2925,7994.0,90017
649,649,Hallasan,3523,4358.0,90005
651,651,951 S. Oxford,1598,1698.0,90006
652,652,Park Wilshire,1885,2370.0,90057
653,653,Violet on Virgil,2175,2518.0,90004
654,654,Broadway Palace,2057,4044.0,90015
655,655,Linea,3000,4010.0,90064
656,656,The Landmark Los Angeles,5080,7990.0,90025
657,657,Circa LA,2510,4236.0,90015
658,658,Arrive Wakaba,2474,3324.0,90012
660,660,Archer,2455,2594.0,90028
661,661,Lumina Hollywood,2850,3546.0,90028
662,662,URBANLUX FLEUR PREMIUM,2350,2950.0,90046
663,663,Park Fifth,2658,4365.0,90013
664,664,TENTEN Downtown,2400,3874.0,90017
665,665,Josephine DTLA,2433,3520.0,90017
666,666,Nari Koreatown,2160,3520.0,90010
667,667,The Chadwick,1672,3468.0,90004
668,668,Palazzo East Apartments,3110,4182.0,90036
669,669,Madrid,2180,2326.0,90045
670,670,THEA at Metropolis,2738,4355.0,90017
671,671,AVA Toluca Hills,2435,2710.0,90068
672,672,Vision on Wilshire,4503,5073.0,90048
673,673,The Q Playa,2681,4811.0,90045
674,674,Sentral DTLA at 732 S. Spring,2425,4150.0,90014
675,675,ZEN Hollywood,3750,3995.0,90028
676,676,&Pico,3516,4863.0,90064
677,677,One Museum Square,4040,5750.0,90036
678,678,The Gemma,2585,2750.0,90010
679,679,Ferrante,2139,4902.0,90012
