,Unnamed: 0,Name,Min Price,Max Price,Zip Code
387,387,The Chadwick,1672,3468.0,90004
388,388,Palazzo East Apartments,3110,4182.0,90036
389,389,Madrid,2180,2326.0,90045
390,390,THEA at Metropolis,2738,4355.0,90017
391,391,AVA Toluca Hills,2435,2710.0,90068
392,392,Vision on Wilshire,4503,5073.0,90048
393,393,The Q Playa,2681,4811.0,90045
394,394,Sentral DTLA at 732 S. Spring,2425,4150.0,90014
395,395,ZEN Hollywood,3750,3995.0,90028
396,396,&Pico,3516,4863.0,90064
397,397,One Museum Square,4040,5750.0,90036
398,398,The Gemma,2585,2750.0,90010
