,Name,Price,Address
115,ZEN Hollywood,"$3,750 - $3,995","1825 N Las Palmas Ave, Los Angeles, CA 90028"
116,&Pico,"$3,516 - $4,863","11916 W Pico Blvd, Los Angeles, CA 90064"
117,One Museum Square,"$4,040 - $5,750","640 S Curson Ave, Los Angeles, CA 90036"
118,The Gemma,"$2,585 - $2,750","3540 Wilshire Blvd, Los Angeles, CA 90010"
119,Ferrante,"$2,139 - $4,902","300 N Beaudry Ave, Los Angeles, CA 90012"
120,sageLA - Brand New,"$2,395 - $4,670","200 N Vermont Ave, Los Angeles, CA 90004"
121,Arya,"$4,050 - $4,200","10700 Tabor St, Los Angeles, CA 90034"
122,The Amara,"$3,145 - $3,330","11600 Santa Monica Blvd, Los Angeles, CA 90025"
123,888 at Grand Hope Park,"$2,435 - $4,350","888 S Hope St, Los Angeles, CA 90017"
124,The Residences at Lorenzo,Call for Rent,"325 W Adams Blvd, Los Angeles, CA 90007"
125,TENTEN WILSHIRE,"$2,750 - $4,095","1010 Wilshire Blvd, Los Angeles, CA 90017"
126,VOX,"$3,190 - $4,670","3333 S La Cienega Blvd, Los Angeles, CA 90016"
127,The BORA 3170,"$2,250 - $3,152","3170 W Olympic Blvd, Los Angeles, CA 90006"
128,Beaudry,"$2,925 - $7,994","960 W 7th St, Los Angeles, CA 90017"
129,Hallasan,"$3,523 - $4,358","696 S New Hampshire Ave, Los Angeles, CA 90005"
130,1223 Federal Ave,"$2,398","1223 Federal Ave, Los Angeles, CA 90025"
131,951 S. Oxford,"$1,598 - $1,698","951 S Oxford Ave, Los Angeles, CA 90006"
132,Park Wilshire,"$1,885 - $2,370","2424 Wilshire Blvd, Los Angeles, CA 90057"
133,Violet on Virgil,"$2,175 - $2,518","160 S Virgil Ave, Los Angeles, CA 90004"
134,Broadway Palace,"$2,057 - $4,044","1026 S Broadway, Los Angeles, CA 90015"
135,Linea,"$3,000 - $4,010","2435 S Sepulveda Blvd, Los Angeles, CA 90064"
136,The Landmark Los Angeles,"$5,080 - $7,990","11750 Wilshire Blvd, Los Angeles, CA 90025"
137,Circa LA,"$2,510 - $4,236","1200 S Figueroa St, Los Angeles, CA 90015"
138,Arrive Wakaba,"$2,474 - $3,324","232 E 2nd St, Los Angeles, CA 90012"
139,Ten Thousand,Call for Rent,"10000 Santa Monica Blvd, Los Angeles, CA 90067"
140,Archer,"$2,455 - $2,594","1718 N Las Palmas Ave, Los Angeles, CA 90028"
141,Lumina Hollywood,"$2,850 - $3,546","1522 Gordon St, Los Angeles, CA 90028"
142,URBANLUX FLEUR PREMIUM,"$2,350 - $2,950","1530 N Poinsettia Pl, Los Angeles, CA 90046"
143,Park Fifth,"$2,658 - $4,365","427 W 5th St, Los Angeles, CA 90013"
144,TENTEN Downtown,"$2,400 - $3,874","1027 Wilshire Blvd, Los Angeles, CA 90017"
145,Josephine DTLA,"$2,433 - $3,520","801 S Hope St, Los Angeles, CA 90017"
146,Nari Koreatown,"$2,160 - $3,520","3150 Wilshire Blvd, Los Angeles, CA 90010"
147,The Chadwick,"$1,672 - $3,468","209 S Westmoreland Ave, Los Angeles, CA 90004"
148,Palazzo East Apartments,"$3,110 - $4,182","348 S Hauser Blvd, Los Angeles, CA 90036"
149,Madrid,"$2,180 - $2,326","8655 Belford Ave, Los Angeles, CA 90045"
150,THEA at Metropolis,"$2,738 - $4,355","1000 W 8th St, Los Angeles, CA 90017"
151,AVA Toluca Hills,"$2,435 - $2,710","3600 Barham Blvd, Los Angeles, CA 90068"
152,Vision on Wilshire,"$4,503 - $5,073","6245 Wilshire Blvd, Los Angeles, CA 90048"
153,The Q Playa,"$2,681 - $4,811","5901-5921 Center Dr, Los Angeles, CA 90045"
154,Sentral DTLA at 732 S. Spring,"$2,425 - $4,150","732 S Spring St, Los Angeles, CA 90014"
155,ZEN Hollywood,"$3,750 - $3,995","1825 N Las Palmas Ave, Los Angeles, CA 90028"
156,&Pico,"$3,516 - $4,863","11916 W Pico Blvd, Los Angeles, CA 90064"
157,One Museum Square,"$4,040 - $5,750","640 S Curson Ave, Los Angeles, CA 90036"
158,The Gemma,"$2,585 - $2,750","3540 Wilshire Blvd, Los Angeles, CA 90010"
159,Ferrante,"$2,139 - $4,902","300 N Beaudry Ave, Los Angeles, CA 90012"
160,sageLA - Brand New,"$2,395 - $4,670","200 N Vermont Ave, Los Angeles, CA 90004"
161,Arya,"$4,050 - $4,200","10700 Tabor St, Los Angeles, CA 90034"
162,The Amara,"$3,145 - $3,330","11600 Santa Monica Blvd, Los Angeles, CA 90025"
163,888 at Grand Hope Park,"$2,435 - $4,350","888 S Hope St, Los Angeles, CA 90017"
164,The Residences at Lorenzo,Call for Rent,"325 W Adams Blvd, Los Angeles, CA 90007"
165,TENTEN WILSHIRE,"$2,750 - $4,095","1010 Wilshire Blvd, Los Angeles, CA 90017"
166,VOX,"$3,190 - $4,670","3333 S La Cienega Blvd, Los Angeles, CA 90016"
167,The BORA 3170,"$2,250 - $3,152","3170 W Olympic Blvd, Los Angeles, CA 90006"
168,Beaudry,"$2,925 - $7,994","960 W 7th St, Los Angeles, CA 90017"
169,Hallasan,"$3,523 - $4,358","696 S New Hampshire Ave, Los Angeles, CA 90005"
170,1223 Federal Ave,"$2,398","1223 Federal Ave, Los Angeles, CA 90025"
171,951 S. Oxford,"$1,598 - $1,698","951 S Oxford Ave, Los Angeles, CA 90006"
172,Park Wilshire,"$1,885 - $2,370","2424 Wilshire Blvd, Los Angeles, CA 90057"
173,Violet on Virgil,"$2,175 - $2,518","160 S Virgil Ave, Los Angeles, CA 90004"
174,Broadway Palace,"$2,057 - $4,044","1026 S Broadway, Los Angeles, CA 90015"
175,Linea,"$3,000 - $4,010","2435 S Sepulveda Blvd, Los Angeles, CA 90064"
176,The Landmark Los Angeles,"$5,080 - $7,990","11750 Wilshire Blvd, Los Angeles, CA 90025"
177,Circa LA,"$2,510 - $4,236","1200 S Figueroa St, Los Angeles, CA 90015"
178,Arrive Wakaba,"$2,474 - $3,324","232 E 2nd St, Los Angeles, CA 90012"
179,Ten Thousand,Call for Rent,"10000 Santa Monica Blvd, Los Angeles, CA 90067"
180,Archer,"$2,455 - $2,594","1718 N Las Palmas Ave, Los Angeles, CA 90028"
181,Lumina Hollywood,"$2,850 - $3,546","1522 Gordon St, Los Angeles, CA 90028"
182,URBANLUX FLEUR PREMIUM,"$2,350 - $2,950","1530 N Poinsettia Pl, Los Angeles, CA 90046"
183,Park Fifth,"$2,658 - $4,365","427 W 5th St, Los Angeles, CA 90013"
184,TENTEN Downtown,"$2,400 - $3,874","1027 Wilshire Blvd, Los Angeles, CA 90017"
185,Josephine DTLA,"$2,433 - $3,520","801 S Hope St, Los Angeles, CA 90017"
186,Nari Koreatown,"$2,160 - $3,520","3150 Wilshire Blvd, Los Angeles, CA 90010"
187,The Chadwick,"$1,672 - $3,468","209 S Westmoreland Ave, Los Angeles, CA 90004"
188,Palazzo East Apartments,"$3,110 - $4,182","348 S Hauser Blvd, Los Angeles, CA 90036"
189,Madrid,"$2,180 - $2,326","8655 Belford Ave, Los Angeles, CA 90045"
190,THEA at Metropolis,"$2,738 - $4,355","1000 W 8th St, Los Angeles, CA 90017"
191,AVA Toluca Hills,"$2,435 - $2,710","3600 Barham Blvd, Los Angeles, CA 90068"
192,Vision on Wilshire,"$4,503 - $5,073","6245 Wilshire Blvd, Los Angeles, CA 90048"
193,The Q Playa,"$2,681 - $4,811","5901-5921 Center Dr, Los Angeles, CA 90045"
